cog,complex,complex_annotation,func,gene_name
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L30,50S ribosomal subunit protein L30,rpmD
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L31,50S ribosomal subunit protein L31,rpmE
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L32,50S ribosomal subunit protein L32,rpmF
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L33,50S ribosomal subunit protein L33,rpmG
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L34,50S ribosomal subunit protein L34,rpmH
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L35,50S ribosomal subunit protein L35,rpmI
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,50S ribosomal subunit protein L36,50S ribosomal subunit protein L36,rpmJ
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S1,30S ribosomal subunit protein S1,rpsA
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S2,30S ribosomal subunit protein S2,rpsB
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S3,30S ribosomal subunit protein S3,rpsC
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S4,30S ribosomal subunit protein S4,rpsD
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S5,30S ribosomal subunit protein S5,rpsE
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S6,30S ribosomal subunit protein S6,rpsF
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S7,30S ribosomal subunit protein S7,rpsG
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S8,30S ribosomal subunit protein S8,rpsH
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S9,30S ribosomal subunit protein S9,rpsI
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S10,30S ribosomal subunit protein S10,rpsJ
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S11,30S ribosomal subunit protein S11,rpsK
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S12,30S ribosomal subunit protein S12,rpsL
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S13,30S ribosomal subunit protein S13,rpsM
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S14,30S ribosomal subunit protein S14,rpsN
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S15,30S ribosomal subunit protein S15,rpsO
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S16,30S ribosomal subunit protein S16,rpsP
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S17,30S ribosomal subunit protein S17,rpsQ
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S18,30S ribosomal subunit protein S18,rpsR
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S19,30S ribosomal subunit protein S19,rpsS
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S20,30S ribosomal subunit protein S20,rpsT
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,30S ribosomal subunit protein S21,30S ribosomal subunit protein S21,rpsU
No Specific COG Annotation,CPLX0-3964,30S ribosomal subunit protein S22,30S ribosomal subunit protein S22,sra
Defense Mechanisms,CPLX0-8311,ribosome-dependent mRNA interferase toxin YoeB,ribosome-dependent mRNA interferase toxin YoeB,yoeB
Carbohydrate transport and metabolism,RIBULOKIN-CPLX,ribulokinase,ribulokinase,araB
Energy production and conversion,CPLX0-1601,putative selenate reductase YnfE,putative selenate reductase YnfE,ynfE
Energy production and conversion,CPLX0-1601,putative selenate reductase YnfF,putative selenate reductase YnfF,ynfF
Energy production and conversion,CPLX0-1601,putative oxidoreductase YnfG,putative oxidoreductase YnfG,ynfG
Energy production and conversion,CPLX0-1601,putative menaquinol dehydrogenase,putative menaquinol dehydrogenase,ynfH
Aminio acid transport and metabolism,CPLX0-7957,"selenide, water dikinase","selenide, water dikinase",selD
"Translation, ribosomal structure, and biogenesis",CPLX0-1141,selenocysteine synthase,selenocysteine synthase,selA
Signal transduction mechanisms,ARCB-CPLX,"ArcB-N-phospho-L-histidine-292 // ""ArcB-phospho-L-aspartate-576"" // ""ArcB-N-phospho-L-histidine-717"" // ""sensor histidine kinase ArcB""","ArcB-N-phospho-L-histidine-292 // ""ArcB-phospho-L-aspartate-576"" // ""ArcB-N-phospho-L-histidine-717"" // ""sensor histidine kinase ArcB""",arcB
Signal transduction mechanisms,CPLX0-7870,sensor histidine kinase AtoS,sensor histidine kinase AtoS,atoS
Signal transduction mechanisms,CPLX0-8302,"BarA-N-phospho-L-histidine-861 // ""BarA-N-phospho-L-histidine-302"" // ""BarA-phospho-L-aspartate-718"" // ""sensor histidine kinase BarA""","BarA-N-phospho-L-histidine-861 // ""BarA-N-phospho-L-histidine-302"" // ""BarA-phospho-L-aspartate-718"" // ""sensor histidine kinase BarA""",barA
Signal transduction mechanisms,CPLX0-8270,"CpxA-N-phospho-L-histidine // ""sensor histidine kinase CpxA""","CpxA-N-phospho-L-histidine // ""sensor histidine kinase CpxA""",cpxA
Signal transduction mechanisms,CREC-CPLX,sensory histidine kinase CreC,sensory histidine kinase CreC,creC
Signal transduction mechanisms,CPLX0-8288,"CusS-N-phospho-L-histidine // ""sensor histidine kinase CusS""","CusS-N-phospho-L-histidine // ""sensor histidine kinase CusS""",cusS
Signal transduction mechanisms,CPLX0-8307,"DcuS-N-phospho-L-histidine // ""sensor histidine kinase DcuS""","DcuS-N-phospho-L-histidine // ""sensor histidine kinase DcuS""",dcuS
Signal transduction mechanisms,ENVZ-CPLX,sensor histidine kinase EnvZ,sensor histidine kinase EnvZ,envZ
Signal transduction mechanisms,PHOR-CPLX,sensor histidine kinase PhoR,sensor histidine kinase PhoR,phoR
Signal transduction mechanisms,CPLX0-8275,"sensory histidine kinase GlrK - phosphorylated // ""sensory histidine kinase GlrK""","sensory histidine kinase GlrK - phosphorylated // ""sensory histidine kinase GlrK""",glrK
Signal transduction mechanisms,KDPD-CPLX,sensory histidine kinase KdpD,sensory histidine kinase KdpD,kdpD
Signal transduction mechanisms,PHOSPHO-KDPD,sensory histidine kinase KdpD,sensory histidine kinase KdpD,kdpD
Signal transduction mechanisms,NARQ-CPLX,"sensory histidine kinase NarQ  - phosphorylated // ""sensory histidine kinase NarQ""","sensory histidine kinase NarQ  - phosphorylated // ""sensory histidine kinase NarQ""",narQ
Signal transduction mechanisms,PHOSPHO-NARQ,"sensory histidine kinase NarQ  - phosphorylated // ""sensory histidine kinase NarQ""","sensory histidine kinase NarQ  - phosphorylated // ""sensory histidine kinase NarQ""",narQ
Transcription,NARX-CPLX,"Phosphorylated DNA-binding transcriptional dual regulator NarL // ""DNA-binding transcriptional dual regulator NarL""","Phosphorylated DNA-binding transcriptional dual regulator NarL // ""DNA-binding transcriptional dual regulator NarL""",narL
Transcription,PHOSPHO-NARX,"Phosphorylated DNA-binding transcriptional dual regulator NarL // ""DNA-binding transcriptional dual regulator NarL""","Phosphorylated DNA-binding transcriptional dual regulator NarL // ""DNA-binding transcriptional dual regulator NarL""",narL
Signal transduction mechanisms,GLNL-CPLX,sensory histidine kinase NtrB,sensory histidine kinase NtrB,glnL
Signal transduction mechanisms,PROTEIN-NRIIP,sensory histidine kinase NtrB,sensory histidine kinase NtrB,glnL
Signal transduction mechanisms,TORS-CPLX,sensory histidine kinase TorS,sensory histidine kinase TorS,torS
Signal transduction mechanisms,CPLX0-8267,sensory histidine kinase TorS,sensory histidine kinase TorS,torS
Signal transduction mechanisms,CPLX0-8265,sensory histidine kinase TorS,sensory histidine kinase TorS,torS
Signal transduction mechanisms,CPLX0-8268,sensory histidine kinase TorS,sensory histidine kinase TorS,torS
Aminio acid transport and metabolism,CPLX0-237,serine acetyltransferase,serine acetyltransferase,cysE
"Post-translational modification, protein turnover, and chaperones",CPLX0-8183,serine endoprotease,serine endoprotease,degS
Aminio acid transport and metabolism,GLYOHMETRANS-CPLX,serine hydroxymethyltransferase,serine hydroxymethyltransferase,glyA
"Post-translational modification, protein turnover, and chaperones",CPLX0-1441,serine protease inhibitor ecotin,serine protease inhibitor ecotin,eco
"Translation, ribosomal structure, and biogenesis",SERS-CPLX,serine-tRNA ligase,serine-tRNA ligase,serS
Aminio acid transport and metabolism,CPLX0-7462,quinate/shikimate dehydrogenase,quinate/shikimate dehydrogenase,ydiB
"Post-translational modification, protein turnover, and chaperones",CPLX0-8204,signaling pathway modulator ZraP,signaling pathway modulator ZraP,zraP
Coenzyme transport and metabolism,SIROHEMESYN-CPLX,siroheme synthase,siroheme synthase,cysG
Cell wall/membrane/envelope biogenesis,CPLX0-7626,small conductance mechanosensitive channel MscS,small conductance mechanosensitive channel MscS,mscS
Cell wall/membrane/envelope biogenesis,CPLX0-7982,small conductance mechanosensitive channel YnaI,small conductance mechanosensitive channel YnaI,ynaI
"Post-translational modification, protein turnover, and chaperones",CPLX0-8108,small heat shock protein IbpA,small heat shock protein IbpA,ibpA
"Post-translational modification, protein turnover, and chaperones",CPLX0-8107,small heat shock protein IbpB,small heat shock protein IbpB,ibpB
Energy production and conversion,UDHA-CPLX,soluble pyridine nucleotide transhydrogenase,soluble pyridine nucleotide transhydrogenase,sthA
"Secondary metabolites, biosynthesis, transport, and catabolism",SORB6PDEHYDROG-CPLX,sorbitol-6-phosphate 2-dehydrogenase,sorbitol-6-phosphate 2-dehydrogenase,srlD
Carbohydrate transport and metabolism,CPLX-169,sorbitol-specific PTS enzyme IIA component,sorbitol-specific PTS enzyme IIA component,srlB
Carbohydrate transport and metabolism,CPLX-169,sorbitol-specific PTS enzyme IIBC1 component,sorbitol-specific PTS enzyme IIBC1 component,srlE
"Translation, ribosomal structure, and biogenesis",SPERMACTRAN-CPLX,spermidine N-acetyltransferase,spermidine N-acetyltransferase,speG
Aminio acid transport and metabolism,ABC-24-CPLX,spermidine preferential ABC transporter ATP binding subunit,spermidine preferential ABC transporter ATP binding subunit,potA
Aminio acid transport and metabolism,ABC-24-CPLX,spermidine preferential ABC transporter membrane subunit PotB,spermidine preferential ABC transporter membrane subunit PotB,potB
Aminio acid transport and metabolism,ABC-24-CPLX,spermidine preferential ABC transporter membrane subunit PotC,spermidine preferential ABC transporter membrane subunit PotC,potC
Aminio acid transport and metabolism,ABC-24-CPLX,spermidine preferential ABC transporter periplasmic binding protein,spermidine preferential ABC transporter periplasmic binding protein,potD
Aminio acid transport and metabolism,SPERMIDINESYN-CPLX,spermidine synthase,spermidine synthase,speE
"Replication, recombination, and repair",CPLX0-8165,ssDNA-binding protein,ssDNA-binding protein,ssb
Inorganic ion transport and metabolism,CPLX0-1521,DNA protection during starvation protein,DNA protection during starvation protein,dps
Energy production and conversion,CPLX0-7687,succinate semialdehyde dehydrogenase (NAD(P)+) Sad,succinate semialdehyde dehydrogenase (NAD(P)+) Sad,sad
Energy production and conversion,CPLX0-7688,succinate-semialdehyde dehydrogenase (NADP+) GabD,succinate-semialdehyde dehydrogenase (NADP+) GabD,gabD
Energy production and conversion,CPLX0-8160,"succinate:quinone oxidoreductase, FAD binding protein","succinate:quinone oxidoreductase, FAD binding protein",sdhA
Energy production and conversion,CPLX0-8160,"succinate:quinone oxidoreductase, iron-sulfur cluster binding protein","succinate:quinone oxidoreductase, iron-sulfur cluster binding protein",sdhB
Energy production and conversion,CPLX0-8160,"succinate:quinone oxidoreductase, membrane protein SdhC","succinate:quinone oxidoreductase, membrane protein SdhC",sdhC
Energy production and conversion,CPLX0-8160,"succinate:quinone oxidoreductase, membrane protein SdhD","succinate:quinone oxidoreductase, membrane protein SdhD",sdhD
Energy production and conversion,SUCC-DEHASE,"succinate:quinone oxidoreductase, FAD binding protein","succinate:quinone oxidoreductase, FAD binding protein",sdhA
Energy production and conversion,SUCC-DEHASE,"succinate:quinone oxidoreductase, iron-sulfur cluster binding protein","succinate:quinone oxidoreductase, iron-sulfur cluster binding protein",sdhB
Energy production and conversion,SUCC-DEHASE,"succinate:quinone oxidoreductase, membrane protein SdhC","succinate:quinone oxidoreductase, membrane protein SdhC",sdhC
Energy production and conversion,SUCC-DEHASE,"succinate:quinone oxidoreductase, membrane protein SdhD","succinate:quinone oxidoreductase, membrane protein SdhD",sdhD
Energy production and conversion,SUCCCOASYN,succinyl-CoA synthetase subunit β,succinyl-CoA synthetase subunit β,sucC
Energy production and conversion,SUCCCOASYN,succinyl-CoA synthetase subunit α,succinyl-CoA synthetase subunit α,sucD
Aminio acid transport and metabolism,CPLX0-3161,succinyl-diaminopimelate desuccinylase,succinyl-diaminopimelate desuccinylase,dapE
Aminio acid transport and metabolism,SUCCORNTRANSAM-CPLX,succinylornithine transaminase,succinylornithine transaminase,astC
Aminio acid transport and metabolism,SULFATE-ADENYLYLTRANS-CPLX,sulfate adenylyltransferase subunit 2,sulfate adenylyltransferase subunit 2,cysD
Inorganic ion transport and metabolism,SULFATE-ADENYLYLTRANS-CPLX,sulfate adenylyltransferase subunit 1,sulfate adenylyltransferase subunit 1,cysN
Inorganic ion transport and metabolism,ABC-70-CPLX,sulfate/thiosulfate ABC transporter ATP binding subunit,sulfate/thiosulfate ABC transporter ATP binding subunit,cysA
Inorganic ion transport and metabolism,ABC-70-CPLX,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,cysU
Inorganic ion transport and metabolism,ABC-70-CPLX,sulfate/thiosulfate ABC transporter inner membrane subunit CysW,sulfate/thiosulfate ABC transporter inner membrane subunit CysW,cysW
Inorganic ion transport and metabolism,ABC-70-CPLX,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,sbp
Inorganic ion transport and metabolism,CPLX0-7841,"sulfite reductase, flavoprotein subunit","sulfite reductase, flavoprotein subunit",cysJ
Carbohydrate transport and metabolism,CPLX0-7683,sulfoquinovose isomerase,sulfoquinovose isomerase,yihS
"Post-translational modification, protein turnover, and chaperones",CPLX0-7839,sulfur acceptor protein CsdE,sulfur acceptor protein CsdE,csdE
"Post-translational modification, protein turnover, and chaperones",CPLX-3942,sulfurtransferase complex subunit TusB,sulfurtransferase complex subunit TusB,yheL
Inorganic ion transport and metabolism,CPLX-3942,sulfurtransferase complex subunit TusC,sulfurtransferase complex subunit TusC,tusC
Inorganic ion transport and metabolism,CPLX-3942,sulfurtransferase complex subunit TusD,sulfurtransferase complex subunit TusD,yheN
Energy production and conversion,CPLX0-8175,sulfurtransferase for molybdenum cofactor sulfuration,sulfurtransferase for molybdenum cofactor sulfuration,fdhD
