cog_class,cog_class_letter,cog_desc,desc,gene,go_biological_process,go_id,uniprot
Metabolism,Energy production and conversion,Energy production and conversion,Gamma-aminobutyraldehyde dehydrogenase ,prr,protein homotetramerization,GO:0051289,P77674
Metabolism,Energy production and conversion,Energy production and conversion,Gamma-aminobutyraldehyde dehydrogenase ,prr,putrescine catabolic process,GO:0009447,P77674
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",FeS cluster assembly protein sufD ,sufD,iron-sulfur cluster assembly,GO:0016226,P77689
Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",FeS cluster assembly protein sufD ,sufD,response to oxidative stress,GO:0006979,P77689
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase ,arnB,lipid A biosynthetic process,GO:0009245,P77690
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase ,arnB,lipopolysaccharide biosynthetic process,GO:0009103,P77690
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase ,arnB,polysaccharide biosynthetic process,GO:0000271,P77690
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase ,arnB,response to antibiotic,GO:0046677,P77690
Poorly Characterized,General function prediction only,General function prediction only,Long-chain acyl-CoA thioesterase tesC ,fadM,fatty acid beta-oxidation,GO:0006635,P77712
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Putative beta-xylosidase ,yagH,xylan catabolic process,GO:0045493,P77713
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,tRNA sulfurtransferase ,thiI,thiamine biosynthetic process,GO:0009228,P77718
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,tRNA sulfurtransferase ,thiI,thiamine diphosphate biosynthetic process,GO:0009229,P77718
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,tRNA sulfurtransferase ,thiI,thiazole biosynthetic process,GO:0052837,P77718
Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,tRNA sulfurtransferase ,thiI,tRNA 4-thiouridine biosynthesis,GO:0002937,P77718
Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized oxidoreductase YajO ,yajO,thiamine metabolic process,GO:0006772,P77735
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Oligopeptide transport ATP-binding protein OppF ,oppF,protein transport,GO:0015031,P77737
Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized protein ydiJ ,ydiJ,lactate catabolic process,GO:1903457,P77748
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Spheroplast protein Y ,spy,ATP-independent chaperone mediated protein folding,GO:1990507,P77754
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Spheroplast protein Y ,spy,chaperone-mediated protein folding,GO:0061077,P77754
Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Spheroplast protein Y ,spy,response to organic cyclic compound,GO:0014070,P77754
Poorly Characterized,General function prediction only,General function prediction only,7-cyano-7-deazaguanine synthase ,queC,queuosine biosynthetic process,GO:0008616,P77756
Poorly Characterized,Function unknown,Function unknown,Lipoprotein yfgL ,bamB,Gram-negative-bacterium-type cell outer membrane assembly,GO:0043165,P77774
Poorly Characterized,Function unknown,Function unknown,Lipoprotein yfgL ,bamB,protein insertion into membrane,GO:0051205,P77774
Metabolism,"Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism",Esterase YdiI ,ydiI,menaquinone biosynthetic process,GO:0009234,P77781
Metabolism,Energy production and conversion,Energy production and conversion,Probable dimethyl sulfoxide reductase chain ynfF ,ynfF,anaerobic respiration,GO:0009061,P77783
Poorly Characterized,General function prediction only,General function prediction only,Maltose O-acetyltransferase ,maa,protein homotrimerization,GO:0070207,P77791
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Aminotransferase YbdL ,ybdL,biosynthetic process,GO:0009058,P77806
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Fructose-6-phosphate aldolase 1 ,fsaA,fructose metabolic process,GO:0006000,P78055
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Thiosulfate sulfurtransferase YnjE ,ynjE,transsulfuration,GO:0019346,P78067
Metabolism,Energy production and conversion,Energy production and conversion,Phenylacetaldehyde dehydrogenase ,feaB,4-nitrophenol catabolic process,GO:0046196,P80668
Metabolism,Energy production and conversion,Energy production and conversion,Phenylacetaldehyde dehydrogenase ,feaB,L-phenylalanine catabolic process,GO:0006559,P80668
Metabolism,Energy production and conversion,Energy production and conversion,Phenylacetaldehyde dehydrogenase ,feaB,NAD biosynthetic process,GO:0009435,P80668
Metabolism,Energy production and conversion,Energy production and conversion,Phenylacetaldehyde dehydrogenase ,feaB,phenylethylamine catabolic process,GO:0019607,P80668
Metabolism,Energy production and conversion,Energy production and conversion,Phenylacetaldehyde dehydrogenase ,feaB,protein homotetramerization,GO:0051289,P80668
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Acetoacetate metabolism regulatory protein AtoC ,atoC,phosphorelay signal transduction system,GO:0000160,Q06065
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Acetoacetate metabolism regulatory protein AtoC ,atoC,"positive regulation of transcription, DNA-templated",GO:0045893,Q06065
Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Acetoacetate metabolism regulatory protein AtoC ,atoC,regulation of polyamine biosynthetic process,GO:0010967,Q06065
Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Exodeoxyribonuclease I ,sbcB,DNA repair,GO:0006281,Q2A0K9
Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yibT ,yibT,response to butan-1-ol,GO:1901422,Q2M7R5
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Uncharacterized lipoprotein ygeR ,ygeR,autolysis,GO:0001896,Q46798
Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Uncharacterized lipoprotein ygeR ,ygeR,septum digestion after cytokinesis,GO:0000920,Q46798
Information Storage and Processing,Transcription,Transcription,Uncharacterized sigma-54-dependent transcriptional regulator ygeV ,ygeV,phosphorelay signal transduction system,GO:0000160,Q46802
Information Storage and Processing,Transcription,Transcription,Uncharacterized sigma-54-dependent transcriptional regulator ygeV ,ygeV,"regulation of transcription, DNA-templated",GO:0006355,Q46802
Information Storage and Processing,Transcription,Transcription,Uncharacterized sigma-54-dependent transcriptional regulator ygeV ,ygeV,"transcription, DNA-templated",GO:0006351,Q46802
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Isopentenyl-diphosphate Delta-isomerase ,idi,cellular response to DNA damage stimulus,GO:0006974,Q46822
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Isopentenyl-diphosphate Delta-isomerase ,idi,dimethylallyl diphosphate biosynthetic process,GO:0050992,Q46822
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Isopentenyl-diphosphate Delta-isomerase ,idi,isopentenyl diphosphate biosynthetic process,GO:0009240,Q46822
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Isopentenyl-diphosphate Delta-isomerase ,idi,isoprenoid biosynthetic process,GO:0008299,Q46822
Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,6-phospho-beta-glucosidase BglA ,bglA,carbohydrate catabolic process,GO:0016052,Q46829
Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized protein yghZ ,gpr,cellular response to DNA damage stimulus,GO:0006974,Q46851
Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized protein yghZ ,gpr,methylglyoxal catabolic process,GO:0051596,Q46851
Metabolism,Energy production and conversion,Energy production and conversion,Alcohol dehydrogenase YqhD ,yqhD,response to reactive oxygen species,GO:0000302,Q46856
Poorly Characterized,General function prediction only,General function prediction only,"2,5-diketo-D-gluconic acid reductase A ",dkgA,L-ascorbic acid biosynthetic process,GO:0019853,Q46857
Poorly Characterized,General function prediction only,General function prediction only,"2,5-diketo-D-gluconic acid reductase A ",dkgA,methylglyoxal catabolic process,GO:0051596,Q46857
Information Storage and Processing,Transcription,Transcription,Antitoxin MqsA ,mqsA,"regulation of transcription, DNA-templated",GO:0006355,Q46864
Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein yqiC ,yqiC,ubiquinone biosynthetic process,GO:0006744,Q46868
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Uncharacterized protein yqjH ,yqjH,cellular response to iron ion starvation,GO:0010106,Q46871
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Uncharacterized protein yqjH ,yqjH,cellular response to nickel ion,GO:0071289,Q46871
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Uncharacterized protein yqjH ,yqjH,iron import into cell,GO:0033212,Q46871
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Uncharacterized protein yqjH ,yqjH,siderophore-dependent iron import into cell,GO:0033214,Q46871
Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Uncharacterized protein yqjH ,yqjH,siderophore transport,GO:0015891,Q46871
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase ,ispD,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",GO:0019288,Q46893
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase ,ispD,terpenoid biosynthetic process,GO:0016114,Q46893
Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein yqcC ,yqcC,single-species biofilm formation,GO:0044010,Q46919
Poorly Characterized,Function unknown,Function unknown,NADPH-dependent 7-cyano-7-deazaguanine reductase ,queF,queuosine biosynthetic process,GO:0008616,Q46920
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cysteine sulfinate desulfinase ,csdA,iron-sulfur cluster assembly,GO:0016226,Q46925
Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Cysteine sulfinate desulfinase ,csdA,sulfur amino acid metabolic process,GO:0000096,Q46925
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Probable acetyl-CoA acetyltransferase ,yqeF,1-butanol biosynthetic process,GO:0071271,Q46939
Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Probable acetyl-CoA acetyltransferase ,yqeF,fatty acid beta-oxidation,GO:0006635,Q46939
Poorly Characterized,General function prediction only,General function prediction only,Chaperone protein YajL ,yajL,cellular response to oxidative stress,GO:0034599,Q46948
Poorly Characterized,General function prediction only,General function prediction only,Chaperone protein YajL ,yajL,DNA repair,GO:0006281,Q46948
Poorly Characterized,General function prediction only,General function prediction only,Chaperone protein YajL ,yajL,"guanine deglycation, glyoxal removal",GO:0106046,Q46948
Poorly Characterized,General function prediction only,General function prediction only,Chaperone protein YajL ,yajL,protein deglycation,GO:0036525,Q46948
Poorly Characterized,General function prediction only,General function prediction only,Chaperone protein YajL ,yajL,"protein deglycation, glyoxal removal",GO:0036529,Q46948
Poorly Characterized,General function prediction only,General function prediction only,Chaperone protein YajL ,yajL,protein refolding,GO:0042026,Q46948
Poorly Characterized,General function prediction only,General function prediction only,Chaperone protein YajL ,yajL,protein repair,GO:0030091,Q46948
