cofactor,cofactor_desc,cog_class,cog_class_letter,cog_desc,desc,gene,uniprot
thiamine diphosphate,Binds 1 thiamine pyrophosphate per subunit,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,1-deoxy-D-xylulose-5-phosphate synthase ,dxs,P77488
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Probable ATP-dependent transporter SufC ,sufC,P77499
None,No known associated cofactor,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism",Uncharacterized ABC transporter permease ybbP ,ybbP,P77504
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",FeS cluster assembly protein sufB ,sufB,P77522
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Probable disulfide bond reductase yfcG ,yfcG,P77526
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Uncharacterized symporter ydjN ,ydjN,P77529
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Uncharacterized GST-like protein yfcF ,yfcF,P77544
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Uncharacterized protein ydhQ ,ydhQ,P77552
None,No known associated cofactor,Metabolism,Nucleotide transport and metabolism,Nucleotide transport and metabolism,Uncharacterized protein yahJ ,yahJ,P77554
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yaiW ,yaiW,P77562
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Mhp operon transcriptional activator ,mhpR,P77569
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Anhydro-N-acetylmuramic acid kinase ,anmK,P77570
[4Fe-4S] cluster,Binds 2 [4Fe-4S] clusters per subunit,Metabolism,Energy production and conversion,Energy production and conversion,Electron transport complex protein rnfC ,rsxC,P77611
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Uncharacterized HTH-type transcriptional regulator ycjW ,ycjW,P77615
Mg(2+),"Requires the presence of a divalent metal cation for activity. Can use magnesium, manganese or cobalt",Poorly Characterized,General function prediction only,General function prediction only,Phosphatase YfbT ,yfbT,P77625
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Protein sufA ,sufA,P77667
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Gamma-aminobutyraldehyde dehydrogenase ,prr,P77674
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",FeS cluster assembly protein sufD ,sufD,P77689
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Protein gnsB ,gnsB,P77695
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Long-chain acyl-CoA thioesterase tesC ,fadM,P77712
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Putative beta-xylosidase ,yagH,P77713
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized lipoprotein ybaY ,ybaY,P77717
None,No known associated cofactor,Metabolism,Coenzyme transport and metabolism,Coenzyme transport and metabolism,tRNA sulfurtransferase ,thiI,P77718
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Uncharacterized HTH-type transcriptional regulator ydjF ,ydjF,P77721
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized oxidoreductase YajO ,yajO,P77735
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Oligopeptide transport ATP-binding protein OppF ,oppF,P77737
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Uncharacterized protein yniA ,yniA,P77739
None,No known associated cofactor,Cellular Processes and Signaling,"Intracellular trafficking, secretion, and vesicular transport","Intracellular trafficking, secretion, and vesicular transport",Spheroplast protein Y ,spy,P77754
Zn(2+),Binds 1 zinc ion per subunit,Poorly Characterized,General function prediction only,General function prediction only,7-cyano-7-deazaguanine synthase ,queC,P77756
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Lipoprotein yfgL ,bamB,P77774
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Epimerase family protein yfcH ,yfcH,P77775
None,No known associated cofactor,Metabolism,"Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism",Esterase YdiI ,ydiI,P77781
[4Fe-4S] cluster,Binds 1 [4Fe-4S] cluster,Metabolism,Energy production and conversion,Energy production and conversion,Probable dimethyl sulfoxide reductase chain ynfF ,ynfF,P77783
Mo-bis(molybdopterin guanine dinucleotide),Binds 1 molybdenum-bis(molybdopterin guanine dinucleotide) (Mo-bis-MGD) cofactor per subunit,Metabolism,Energy production and conversion,Energy production and conversion,Probable dimethyl sulfoxide reductase chain ynfF ,ynfF,P77783
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Maltose O-acetyltransferase ,maa,P77791
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Uncharacterized ABC transporter ATP-binding protein YdcT ,ydcT,P77795
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Protein ydgA ,ydgA,P77804
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,CinA-like protein ,yfaY,P77808
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,Fructose-6-phosphate aldolase 1 ,fsaA,P78055
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Thiosulfate sulfurtransferase YnjE ,ynjE,P78067
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Phenylacetaldehyde dehydrogenase ,feaB,P80668
None,No known associated cofactor,Cellular Processes and Signaling,Signal transduction mechanisms,Signal transduction mechanisms,Acetoacetate metabolism regulatory protein AtoC ,atoC,Q06065
Mg(2+),Binds 2 Mg(2+) ions per monomer,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Exodeoxyribonuclease I ,sbcB,Q2A0K9
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yibT ,yibT,Q2M7R5
None,No known associated cofactor,Not Assigned,Not Assigned,Not Assigned,Uncharacterized protein yicS ,yicS,Q2M7X4
None,No known associated cofactor,Cellular Processes and Signaling,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,Uncharacterized lipoprotein ygeR ,ygeR,Q46798
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,Uncharacterized sigma-54-dependent transcriptional regulator ygeV ,ygeV,Q46802
Mg(2+),Binds 1 Mg(2+) ion per subunit. The magnesium ion binds only when substrate is boun,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Isopentenyl-diphosphate Delta-isomerase ,idi,Q46822
Mn(2+),Binds 1 Mn(2+) ion per subuni,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Isopentenyl-diphosphate Delta-isomerase ,idi,Q46822
None,No known associated cofactor,Metabolism,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,6-phospho-beta-glucosidase BglA ,bglA,Q46829
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Glycolate permease glcA ,glcA,Q46839
None,No known associated cofactor,Cellular Processes and Signaling,"Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones",Uncharacterized GST-like protein yghU ,yghU,Q46845
None,No known associated cofactor,Metabolism,Energy production and conversion,Energy production and conversion,Uncharacterized protein yghZ ,gpr,Q46851
Zn(2+),Binds 1 zinc ion per subuni,Metabolism,Energy production and conversion,Energy production and conversion,Alcohol dehydrogenase YqhD ,yqhD,Q46856
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,"2,5-diketo-D-gluconic acid reductase A ",dkgA,Q46857
Zn(2+),Binds 1 Zn(2+) ion per subunit,Information Storage and Processing,Transcription,Transcription,Antitoxin MqsA ,mqsA,Q46864
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein yqiC ,yqiC,Q46868
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Uncharacterized protein yqjH ,yqjH,Q46871
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,Uncharacterized protein yqcC ,yqcC,Q46919
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,NADPH-dependent 7-cyano-7-deazaguanine reductase ,queF,Q46920
None,No known associated cofactor,Metabolism,Lipid transport and metabolism,Lipid transport and metabolism,Probable acetyl-CoA acetyltransferase ,yqeF,Q46939
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Chaperone protein YajL ,yajL,Q46948
None,No known associated cofactor,Information Storage and Processing,Transcription,Transcription,HTH-type transcriptional regulator cbl ,cbl,Q47083
None,No known associated cofactor,Poorly Characterized,General function prediction only,General function prediction only,Putative glutamine amidotransferase yafJ ,yafJ,Q47147
None,No known associated cofactor,Information Storage and Processing,"Replication, recombination and repair","Replication, recombination and repair",Antitoxin DinJ ,dinJ,Q47150
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Taurine-binding periplasmic protein ,tauA,Q47537
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Peptide transport periplasmic protein sapA ,sapA,Q47622
None,No known associated cofactor,Poorly Characterized,Function unknown,Function unknown,tRNA pseudouridine synthase D ,truD,Q57261
None,No known associated cofactor,Metabolism,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,Copper-exporting P-type ATPase A ,copA,Q59385
None,No known associated cofactor,Metabolism,Amino acid transport and metabolism,Amino acid transport and metabolism,Gamma-aminobutyrate aminotransferase ,puuE,Q5H772
