cog,complex,complex_annotation,func,protein,subunits
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S2,RpsB,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S3,RpsC,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S4,RpsD,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S5,RpsE,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S6,RpsF,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S7,RpsG,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S8,RpsH,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S9,RpsI,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S10,RpsJ,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S11,RpsK,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S12,RpsL,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S13,RpsM,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S14,RpsN,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S15,RpsO,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S16,RpsP,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S17,RpsQ,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S18,RpsR,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S19,RpsS,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S20,RpsT,1.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3964,ribosome,30S ribosomal subunit protein S21,RpsU,1.0
Function unknown,CPLX0-3964,ribosome,30S ribosomal subunit protein S22,Sra,1.0
Defense Mechanisms,CPLX0-8311,ribosome-dependent mRNA interferase,ribosome-dependent mRNA interferase toxin YoeB,YoeB,2.0
Carbohydrate transport and metabolism,RIBULOKIN-CPLX,ribulokinase,ribulokinase,AraB,2.0
Energy production and conversion,CPLX0-1601,selenate reductase,putative selenate reductase YnfE,YnfE,1.0
Energy production and conversion,CPLX0-1601,selenate reductase,putative selenate reductase YnfF,YnfF,1.0
Energy production and conversion,CPLX0-1601,selenate reductase,putative oxidoreductase YnfG,YnfG,1.0
Energy production and conversion,CPLX0-1601,selenate reductase,putative menaquinol dehydrogenase,YnfH,1.0
Aminio acid transport and metabolism,CPLX0-7957,"selenide, water dikinase","selenide, water dikinase",SelD,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-1141,selenocysteine synthase,selenocysteine synthase,SelA,10.0
Signal transduction mechanisms,ARCB-CPLX,sensor histidine kinase ArcB,"ArcB-N-phospho-L-histidine-292 // ""ArcB-phospho-L-aspartate-576"" // ""ArcB-N-phospho-L-histidine-717"" // ""sensor histidine kinase ArcB""",ArcB,2.0
Signal transduction mechanisms,CPLX0-7870,sensor histidine kinase AtoS,sensor histidine kinase AtoS,AtoS,2.0
Signal transduction mechanisms,CPLX0-8302,sensor histidine kinase BarA,"BarA-N-phospho-L-histidine-861 // ""BarA-N-phospho-L-histidine-302"" // ""BarA-phospho-L-aspartate-718"" // ""sensor histidine kinase BarA""",BarA,2.0
Signal transduction mechanisms,CPLX0-8270,sensor histidine kinase CpxA,"CpxA-N-phospho-L-histidine // ""sensor histidine kinase CpxA""",CpxA,2.0
Signal transduction mechanisms,CREC-CPLX,sensor histidine kinase CreC,sensory histidine kinase CreC,CreC,2.0
Signal transduction mechanisms,CPLX0-8288,sensor histidine kinase CusS,"CusS-N-phospho-L-histidine // ""sensor histidine kinase CusS""",CusS,2.0
Signal transduction mechanisms,CPLX0-8307,sensor histidine kinase DcuS,"DcuS-N-phospho-L-histidine // ""sensor histidine kinase DcuS""",DcuS,2.0
Signal transduction mechanisms,ENVZ-CPLX,sensor histidine kinase EnvZ,sensor histidine kinase EnvZ,EnvZ,2.0
Signal transduction mechanisms,PHOR-CPLX,sensor histidine kinase PhoR,sensor histidine kinase PhoR,PhoR,2.0
Signal transduction mechanisms,CPLX0-8275,sensory histidine kinase GlrK,"sensory histidine kinase GlrK - phosphorylated // ""sensory histidine kinase GlrK""",GlrK,2.0
Signal transduction mechanisms,KDPD-CPLX,sensory histidine kinase KdpD,sensory histidine kinase KdpD,KdpD,2.0
Signal transduction mechanisms,PHOSPHO-KDPD,sensory histidine kinase KdpD - phosphorylated,sensory histidine kinase KdpD,KdpD,2.0
Signal transduction mechanisms,NARQ-CPLX,sensory histidine kinase NarQ,"sensory histidine kinase NarQ  - phosphorylated // ""sensory histidine kinase NarQ""",NarQ,2.0
Signal transduction mechanisms,PHOSPHO-NARQ,sensory histidine kinase NarQ  - phosphorylated,"sensory histidine kinase NarQ  - phosphorylated // ""sensory histidine kinase NarQ""",NarQ,2.0
Transcription,NARX-CPLX,sensory histidine kinase NarX,"Phosphorylated DNA-binding transcriptional dual regulator NarL // ""DNA-binding transcriptional dual regulator NarL""",NarL,2.0
Transcription,PHOSPHO-NARX,sensory histidine kinase NarX - phosphorylated,"Phosphorylated DNA-binding transcriptional dual regulator NarL // ""DNA-binding transcriptional dual regulator NarL""",NarL,2.0
Signal transduction mechanisms,GLNL-CPLX,sensory histidine kinase NtrB,sensory histidine kinase NtrB,GlnL,2.0
Signal transduction mechanisms,PROTEIN-NRIIP,sensory histidine kinase NtrB - phosphorylated,sensory histidine kinase NtrB,GlnL,2.0
Signal transduction mechanisms,TORS-CPLX,sensory histidine kinase TorS,sensory histidine kinase TorS,TorS,2.0
Signal transduction mechanisms,CPLX0-8267,sensory histidine kinase TorS - asp723 phosphorylated,sensory histidine kinase TorS,TorS,2.0
Signal transduction mechanisms,CPLX0-8265,sensory histidine kinase TorS - his443 phosphorylated,sensory histidine kinase TorS,TorS,2.0
Signal transduction mechanisms,CPLX0-8268,sensory histidine kinase TorS - his850 phosphorylated,sensory histidine kinase TorS,TorS,2.0
Aminio acid transport and metabolism,CPLX0-237,serine acetyltransferase,serine acetyltransferase,CysE,6.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-8183,serine endoprotease,serine endoprotease,DegS,3.0
Aminio acid transport and metabolism,GLYOHMETRANS-CPLX,serine hydroxymethyltransferase,serine hydroxymethyltransferase,GlyA,2.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-1441,serine protease inhibitor ecotin,serine protease inhibitor ecotin,Eco,2.0
"Translation, ribosomal structure, and biogenesis",SERS-CPLX,serine-tRNA ligase,serine-tRNA ligase,SerS,2.0
Aminio acid transport and metabolism,CPLX0-7462,shikimate dehydrogenase,quinate/shikimate dehydrogenase,YdiB,2.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-8204,signaling pathway modulator ZraP,signaling pathway modulator ZraP,ZraP,8.0
Coenzyme transport and metabolism,SIROHEMESYN-CPLX,siroheme synthase,siroheme synthase,CysG,2.0
Cell wall/membrane/envelope biogenesis,CPLX0-7626,small conductance mechanosensitive channel MscS,small conductance mechanosensitive channel MscS,MscS,7.0
Cell wall/membrane/envelope biogenesis,CPLX0-7982,small conductance mechanosensitive channel YnaI,small conductance mechanosensitive channel YnaI,YnaI,7.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-8108,small heat shock protein IbpA,small heat shock protein IbpA,IbpA,2.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-8107,small heat shock protein IbpB homodimer,small heat shock protein IbpB,IbpB,2.0
Energy production and conversion,UDHA-CPLX,soluble pyridine nucleotide transhydrogenase,soluble pyridine nucleotide transhydrogenase,SthA,8.0
"Secondary metabolites, biosynthesis, transport, and catabolism",SORB6PDEHYDROG-CPLX,sorbitol-6-phosphate 2-dehydrogenase,sorbitol-6-phosphate 2-dehydrogenase,SrlD,4.0
Carbohydrate transport and metabolism,CPLX-169,sorbitol-specific PTS enzyme II,sorbitol-specific PTS enzyme IIA component,SrlB,1.0
Carbohydrate transport and metabolism,CPLX-169,sorbitol-specific PTS enzyme II,sorbitol-specific PTS enzyme IIBC1 component,SrlE,1.0
"Translation, ribosomal structure, and biogenesis",SPERMACTRAN-CPLX,spermidine N-acetyltransferase,spermidine N-acetyltransferase,SpeG,4.0
Aminio acid transport and metabolism,ABC-24-CPLX,spermidine preferential ABC transporter,spermidine preferential ABC transporter ATP binding subunit,PotA,2.0
Aminio acid transport and metabolism,ABC-24-CPLX,spermidine preferential ABC transporter,spermidine preferential ABC transporter membrane subunit PotB,PotB,1.0
Aminio acid transport and metabolism,ABC-24-CPLX,spermidine preferential ABC transporter,spermidine preferential ABC transporter membrane subunit PotC,PotC,1.0
Aminio acid transport and metabolism,ABC-24-CPLX,spermidine preferential ABC transporter,spermidine preferential ABC transporter periplasmic binding protein,PotD,1.0
Aminio acid transport and metabolism,SPERMIDINESYN-CPLX,spermidine synthase,spermidine synthase,SpeE,2.0
"Replication, recombination, and repair",CPLX0-8165,ssDNA-binding protein,ssDNA-binding protein,Ssb,4.0
Inorganic ion transport and metabolism,CPLX0-1521,stationary phase nucleoid component that sequesters iron and protects DNA from damage,DNA protection during starvation protein,Dps,12.0
Energy production and conversion,CPLX0-7687,succinate semialdehyde dehydrogenase (NAD(P)+) Sad,succinate semialdehyde dehydrogenase (NAD(P)+) Sad,Sad,2.0
Energy production and conversion,CPLX0-7688,succinate-semialdehyde dehydrogenase (NADP+) GabD,succinate-semialdehyde dehydrogenase (NADP+) GabD,GabD,4.0
Energy production and conversion,CPLX0-8160,succinate:quinone oxidoreductase,"succinate:quinone oxidoreductase, FAD binding protein",SdhA,3.0
Energy production and conversion,CPLX0-8160,succinate:quinone oxidoreductase,"succinate:quinone oxidoreductase, iron-sulfur cluster binding protein",SdhB,3.0
Energy production and conversion,CPLX0-8160,succinate:quinone oxidoreductase,"succinate:quinone oxidoreductase, membrane protein SdhC",SdhC,3.0
Energy production and conversion,CPLX0-8160,succinate:quinone oxidoreductase,"succinate:quinone oxidoreductase, membrane protein SdhD",SdhD,3.0
Energy production and conversion,SUCC-DEHASE,succinate:quinone oxidoreductase subcomplex,"succinate:quinone oxidoreductase, FAD binding protein",SdhA,1.0
Energy production and conversion,SUCC-DEHASE,succinate:quinone oxidoreductase subcomplex,"succinate:quinone oxidoreductase, iron-sulfur cluster binding protein",SdhB,1.0
Energy production and conversion,SUCC-DEHASE,succinate:quinone oxidoreductase subcomplex,"succinate:quinone oxidoreductase, membrane protein SdhC",SdhC,1.0
Energy production and conversion,SUCC-DEHASE,succinate:quinone oxidoreductase subcomplex,"succinate:quinone oxidoreductase, membrane protein SdhD",SdhD,1.0
Energy production and conversion,SUCCCOASYN,succinyl-CoA synthetase,succinyl-CoA synthetase subunit β,SucC,2.0
Energy production and conversion,SUCCCOASYN,succinyl-CoA synthetase,succinyl-CoA synthetase subunit α,SucD,2.0
Aminio acid transport and metabolism,CPLX0-3161,succinyl-diaminopimelate desuccinylase,succinyl-diaminopimelate desuccinylase,DapE,2.0
Aminio acid transport and metabolism,SUCCORNTRANSAM-CPLX,succinylornithine transaminase,succinylornithine transaminase,AstC,2.0
Aminio acid transport and metabolism,SULFATE-ADENYLYLTRANS-CPLX,sulfate adenylyltransferase,sulfate adenylyltransferase subunit 2,CysD,4.0
Inorganic ion transport and metabolism,SULFATE-ADENYLYLTRANS-CPLX,sulfate adenylyltransferase,sulfate adenylyltransferase subunit 1,CysN,4.0
Inorganic ion transport and metabolism,ABC-70-CPLX,sulfate/thiosulfate ABC transporter,sulfate/thiosulfate ABC transporter ATP binding subunit,CysA,2.0
Inorganic ion transport and metabolism,ABC-70-CPLX,sulfate/thiosulfate ABC transporter,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,CysU,1.0
Inorganic ion transport and metabolism,ABC-70-CPLX,sulfate/thiosulfate ABC transporter,sulfate/thiosulfate ABC transporter inner membrane subunit CysW,CysW,1.0
Inorganic ion transport and metabolism,ABC-70-CPLX,sulfate/thiosulfate ABC transporter,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,Sbp,1.0
Inorganic ion transport and metabolism,CPLX0-7841,"sulfite reductase, flavoprotein subunit complex","sulfite reductase, flavoprotein subunit",CysJ,8.0
Carbohydrate transport and metabolism,CPLX0-7683,sulfoquinovose isomerase,sulfoquinovose isomerase,YihS,6.0
"Post-translational modification, protein turnover, and chaperones",CPLX0-7839,sulfur acceptor protein CsdE,sulfur acceptor protein CsdE,CsdE,2.0
"Post-translational modification, protein turnover, and chaperones",CPLX-3942,sulfurtransferase complex TusBCD,sulfurtransferase complex subunit TusB,YheL,2.0
Inorganic ion transport and metabolism,CPLX-3942,sulfurtransferase complex TusBCD,sulfurtransferase complex subunit TusC,TusC,2.0
Inorganic ion transport and metabolism,CPLX-3942,sulfurtransferase complex TusBCD,sulfurtransferase complex subunit TusD,YheN,2.0
Energy production and conversion,CPLX0-8175,sulfurtransferase for molybdenum cofactor sulfuration,sulfurtransferase for molybdenum cofactor sulfuration,FdhD,2.0
Inorganic ion transport and metabolism,SUPEROX-DISMUTFE-CPLX,superoxide dismutase (Fe),superoxide dismutase (Fe),SodB,2.0
Inorganic ion transport and metabolism,SUPEROX-DISMUTMN-CPLX,superoxide dismutase (Mn),superoxide dismutase (Mn),SodA,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7421,tRNA (cytidine/uridine-2'-O)-ribose methyltransferase,tRNA (cytidine/uridine-2'-O)-ribose methyltransferase,TrmL,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7420,tRNA Cm32/Um32 methyltransferase,tRNA Cm32/Um32 methyltransferase,TrmJ,2.0
Function unknown,CPLX0-8190,tRNA U34 carboxymethyltransferase,tRNA U34 carboxymethyltransferase,CmoB,4.0
"Translation, ribosomal structure, and biogenesis",CPLX0-901,tRNA adenosine34 deaminase,tRNA adenosine34 deaminase,TadA,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-8124,tRNA cytosine32 2-sulfurtransferase TtcA,tRNA cytosine32 2-sulfurtransferase TtcA,TtcA,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-3950,tRNA m1G37 methyltransferase,tRNA m1G37 methyltransferase,TrmD,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-7728,tRNA pseudouridine38-40 synthase,tRNA pseudouridine38-40 synthase,TruA,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-8176,tRNA threonylcarbamoyladenosine dehydratase,tRNA threonylcarbamoyladenosine dehydratase,CsdL,2.0
"Translation, ribosomal structure, and biogenesis",CPLX0-1101,tRNA-guanine transglycosylase,tRNA-guanine transglycosylase,Tgt,3.0
Carbohydrate transport and metabolism,CPLX0-240,"tagatose-1,6-bisphosphate aldolase 1","tagatose-1,6-bisphosphate aldolase 1 subunit KbaZ",KbaZ,1.0
Carbohydrate transport and metabolism,CPLX0-241,"tagatose-1,6-bisphosphate aldolase 2","tagatose-1,6-bisphosphate aldolase 2 subunit GatY",GatY,1.0
Carbohydrate transport and metabolism,CPLX0-241,"tagatose-1,6-bisphosphate aldolase 2","tagatose-1,6-bisphosphate aldolase 2 subunit GatZ",GatZ,1.0
Lipid transport and metabolism,CPLX0-7616,tartronate semialdehyde reductase 2,tartronate semialdehyde reductase 2,GlxR,4.0
Inorganic ion transport and metabolism,ABC-64-CPLX,taurine ABC transporter,taurine ABC transporter periplasmic binding protein,TauA,1.0
Inorganic ion transport and metabolism,ABC-64-CPLX,taurine ABC transporter,taurine ABC transporter ATP binding subunit,TauB,2.0
Function unknown,CPLX0-7913,tellurite methyltransferase,tellurite methyltransferase,TehB,2.0
Aminio acid transport and metabolism,CPLX0-3181,tetrahydrodipicolinate succinylase,tetrahydrodipicolinate succinylase,DapD,2.0
Coenzyme transport and metabolism,ABC-32-CPLX,thiamin(e) ABC transporter,thiamin ABC transporter periplasmic binding protein,ThiB,1.0
Coenzyme transport and metabolism,ABC-32-CPLX,thiamin(e) ABC transporter,thiamin ABC transporter ATP binding subunit,ThiQ,2.0
Inorganic ion transport and metabolism,ABC-32-CPLX,thiamin(e) ABC transporter,thiamin ABC transporter membrane subunit,ThiP,2.0
Coenzyme transport and metabolism,CPLX0-3949,thiazole synthase,thiamin ABC transporter periplasmic binding protein,ThiB,6.0
"Post-translational modification, protein turnover, and chaperones",THIOREDOXIN-REDUCT-NADPH-CPLX,thioredoxin reductase,thioredoxin reductase,TrxB,2.0
Inorganic ion transport and metabolism,CPLX0-242,thiosulfate sulfurtransferase GlpE,thiosulfate sulfurtransferase GlpE,GlpE,2.0
Inorganic ion transport and metabolism,CPLX0-8219,thiosulfate sulfurtransferase YgaP,thiosulfate sulfurtransferase YgaP,YgaP,2.0
