"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Component-Of"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"yeeX"	"b2007"	2079032	2079361	"DUF496 domain-containing protein YeeX"	"Chromosome Region 43, 2073918->2123296" // "yeeX"	""	"cytosol"	""
"glnE"	"b3053"	3196801	3199641	"fused glutamine synthetase deadenylase/glutamine synthetase adenylyltransferase"	"Chromosome Region 65, 3160256->3209634" // "ygiF" // "glnE"	"regulation of glutamine family amino acid metabolic process" // "metabolic process"	"cytosol"	"[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase" // "catalytic activity" // "magnesium ion binding" // "ATP binding" // "nucleotide binding" // "nucleotidyltransferase activity" // "transferase activity" // "[glutamate-ammonia-ligase] adenylyltransferase activity"
"yeaX"	"b1803"	1885845	1886810	"carnitine monooxygenase subunit YeaX"	"Chromosome Region 39, 1876402->1925780" // "yeaX"	"electron transport chain" // "carnitine metabolic process" // "oxidation-reduction process"	"cytosol"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen" // "electron transfer activity" // "2 iron, 2 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding" // "oxidoreductase activity"
"rutF"	"b1007"	1069860	1070354	"flavin reductase"	"Chromosome Region 22, 1036959->1086337" // "rutABCDEFG"	"uracil catabolic process" // "oxidation-reduction process" // "pyrimidine nucleobase catabolic process" // "nitrogen utilization"	"cytosol"	"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor" // "cofactor binding" // "oxidoreductase activity" // "FMN binding" // "FMN reductase activity" // "riboflavin reductase (NADPH) activity"
"ydhQ"	"b1664"	1744871	1746127	"putative adhesin-related protein YdhQ"	"Chromosome Region 36, 1728265->1777643" // "ydhQ"	"cellular response to DNA damage stimulus"	""	""
"allC"	"b0516"	544057	545292	"allantoate amidohydrolase"	"Chromosome Region 12, 543169->592547" // "allDC-ylbA"	"allantoin catabolic process" // "purine nucleobase metabolic process" // "allantoin assimilation pathway"	"cytoplasm" // "cytosol"	"zinc ion binding" // "metal ion binding" // "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines" // "hydrolase activity" // "protein homodimerization activity" // "manganese ion binding" // "allantoate deiminase activity"
"ydcZ"	"b1447"	1517882	1518331	"putative inner membrane protein"	"Chromosome Region 31, 1481370->1530748" // "mnaT" // "ydcZ"	"movement of cell or subcellular component"	"plasma membrane" // "integral component of membrane" // "membrane"	"protein binding"
"ygfT"	"b2887"	3029012	3030931	"putative oxidoreductase YgfT"	"Chromosome Region 62, 3012119->3061497" // "ygfT" // "ygfS"	"urate catabolic process" // "glutamate biosynthetic process" // "oxidation-reduction process"	"cytosol"	"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor" // "4 iron, 4 sulfur cluster binding" // "iron-sulfur cluster binding" // "metal ion binding" // "oxidoreductase activity"
"yceM"	"b1068"	1126806	1127729	"putative oxidoreductase YceM"	"Chromosome Region 23, 1086338->1135716" // "mviM"	"oxidation-reduction process"	"cytosol"	"oxidoreductase activity"
"allA"	"b0505"	532451	532933	"ureidoglycolate lyase"	"Chromosome Region 11, 493790->543168" // "allA"	"purine nucleobase catabolic process" // "allantoin catabolic process" // "purine nucleobase metabolic process"	"cytosol"	"lyase activity" // "ureidoglycolate hydrolase activity" // "ureidoglycolate lyase activity"
"dgcI"	"b0834"	875335	876663	"putative diguanylate cyclase DgcI"	"Chromosome Region 18, 839443->888821" // "dgcI" // "pdeI"	"negative regulation of bacterial-type flagellum-dependent cell motility" // "cell adhesion involved in single-species biofilm formation"	"plasma membrane" // "integral component of membrane" // "membrane"	"diguanylate cyclase activity" // "metal ion binding" // "transferase activity" // "GTP binding" // "nucleotide binding"
"ydfG"	"b1539"	1627517	1628263	"3-hydroxy acid dehydrogenase"	"Chromosome Region 33, 1580128->1629506" // "ydfGp" // "ydfG"	"protein homotetramerization" // "uracil catabolic process" // "oxidation-reduction process"	"cytosol"	"3-hydroxyisobutyrate dehydrogenase activity" // "identical protein binding" // "oxidoreductase activity" // "3-hydroxypropionate dehydrogenase (NADP+) activity" // "serine 3-dehydrogenase activity"
"ybdF"	"b0579"	605518	605886	"PF04237 family protein YbdF"	"Chromosome Region 13, 592548->641926" // "ybdF"	""	"cytosol"	""
"cynS"	"b0340"	359489	359959	"cyanase"	"Chromosome Region 8, 345653->395031" // "cynTS" // "cynTSX"	"cyanate metabolic process" // "cyanate catabolic process"	"cytosol"	"lyase activity" // "DNA binding" // "cyanate hydratase activity"
"ecpC"	"b0291"	306807	309332	"putative fimbrial usher protein EcpC"	"Chromosome Region 7, 296274->345652" // "matCp2" // "ecpE" // "ecpD" // "ecpC" // "ecpB" // "matCp1" // "ecpB" // "ecpC" // "ecpD" // "ecpE"	""	"cell outer membrane"	"protein binding"
"rutB"	"b1011"	1072171	1072863	"peroxyureidoacrylate/ureidoacrylate amidohydrolase"	"Chromosome Region 22, 1036959->1086337" // "rutABCDEFG"	"uracil catabolic process" // "pyrimidine nucleobase catabolic process" // "nitrogen utilization"	"cytosol"	"hydrolase activity" // "catalytic activity" // "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"
"naRNA1"		4326305	4326381	"naRNA1"	"Chromosome Region 88, 4295973->4345351"	""	""	""
"rutE"	"b1008"	1070365	1070955	"putative malonic semialdehyde reductase"	"Chromosome Region 22, 1036959->1086337" // "rutABCDEFG"	"cellular response to DNA damage stimulus" // "uracil catabolic process" // "oxidation-reduction process" // "pyrimidine nucleobase catabolic process" // "nitrogen utilization"	""	"oxidoreductase activity" // "FMN binding" // "3-hydroxypropionate dehydrogenase (NADP+) activity"
"mntS"	"b4705"	852869	852997	"small protein MntS"	"Chromosome Region 18, 839443->888821" // "rybA-mntS"	"cellular manganese ion homeostasis" // "cellular response to manganese ion"	"cell" // "cytoplasm"	""
"allD"	"b0517"	545314	546363	"ureidoglycolate dehydrogenase"	"Chromosome Region 12, 543169->592547" // "allDC-ylbA"	"allantoin catabolic process" // "oxidation-reduction process" // "purine nucleobase metabolic process" // "allantoin assimilation pathway"	"cytosol" // "cytoplasm"	"oxidoreductase activity" // "ureidoglycolate dehydrogenase activity"
"yeiW"	"b4502"	2265041	2265295	"PF03692 putative metal-chelating domain-containing protein YeiW"	"Chromosome Region 46, 2222055->2271433" // "yeiWp" // "yeiW"	""	""	"protein binding"
"patA"	"b3073"	3219494	3220873	"putrescine aminotransferase"	"Chromosome Region 66, 3209635->3259013" // "patA"	"putrescine catabolic process"	"cytosol"	"protein homodimerization activity" // "transferase activity" // "transaminase activity" // "catalytic activity" // "pyridoxal phosphate binding" // "butane-1,4-diamine:2-oxoglutarate aminotransferase activity"
"yedJ"	"b1962"	2032384	2033079	"putative HD superfamily phosphohydrolase YedJ"	"Chromosome Region 42, 2024539->2073917" // "yedR" // "yedJ"	""	"cytosol"	""
"allB"	"b0512"	539147	540508	"allantoinase"	"allB" // "allB" // "allB" // "Chromosome Region 11, 493790->543168" // "gcl-hyi-glxR-ybbVW-allB-ybbY-glxK"	"purine nucleobase catabolic process" // "allantoin catabolic process" // "purine nucleobase metabolic process" // "allantoin assimilation pathway"	"cytosol" // "cytoplasm"	"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" // "hydrolase activity" // "cobalt ion binding" // "metal ion binding" // "zinc ion binding" // "allantoinase activity"
"yiaW"	"b3587"	3754105	3754428	"DUF3302 domain-containing protein YiaW"	"Chromosome Region 77, 3752804->3802182" // "yiaW" // "yiaV"	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
"astC"	"b1748"	1830762	1831982	"succinylornithine transaminase"	"Chromosome Region 38, 1827023->1876401" // "astCADBE" // "astCADBE" // "astCADBE"	"arginine catabolic process to glutamate" // "arginine biosynthetic process via ornithine" // "arginine catabolic process" // "arginine metabolic process" // "cellular amino acid metabolic process" // "arginine catabolic process to succinate" // "ornithine catabolic process"	"cytosol"	"transferase activity" // "transaminase activity" // "catalytic activity" // "pyridoxal phosphate binding" // "succinylornithine transaminase activity" // "N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity"
"yeiR"	"b2173"	2267829	2268815	"zinc-binding GTPase YeiR"	"Chromosome Region 46, 2222055->2271433" // "lpxT" // "yeiR"	""	"cytosol"	"hydrolase activity" // "metal ion binding" // "GTP binding" // "nucleotide binding" // "zinc ion binding" // "GTPase activity"
"glaR"	"b2664"	2795674	2796336	"DNA-binding transcriptional repressor GlaR"	"Chromosome Region 57, 2765224->2814602" // "CsiR"	"negative regulation of DNA-templated transcription, initiation" // "regulation of transcription, DNA-templated"	"cytosol" // "cytoplasm"	"DNA-binding transcription factor activity" // "DNA binding"
"yjbQ"	"b4056"	4270238	4270654	"UPF0047 protein YjbQ"	"Chromosome Region 87, 4246594->4295972" //  // "yjbQp" // "yjbR" // "yjbQ"	""	"cytosol"	""
"cynT"	"b0339"	358799	359458	"carbonic anhydrase 1"	"Chromosome Region 8, 345653->395031" // "cynTS" // "cynTSX"	"carbon utilization" // "cyanate catabolic process"	"cytosol" // "cytoplasm"	"lyase activity" // "identical protein binding" // "metal ion binding" // "zinc ion binding" // "carbonate dehydratase activity"
"yibH"	"b3597"	3770243	3771379	"inner membrane protein YibH"	"Chromosome Region 77, 3752804->3802182" // "yibI" // "yibH"	"transmembrane transport" // "cellular response to DNA damage stimulus"	"membrane" // "plasma membrane" // "integral component of membrane"	"transmembrane transporter activity"
"rutA"	"b1012"	1072863	1074011	"pyrimidine oxygenase"	"Chromosome Region 22, 1036959->1086337" // "rutABCDEFG"	"thymine catabolic process" // "uracil catabolic process" // "oxidation-reduction process" // "pyrimidine nucleobase catabolic process" // "nitrogen utilization"	""	"oxidoreductase activity" // "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" // "uracil oxygenase activity" // "monooxygenase activity"
"yabI"	"b0065"	71351	72115	"DedA family protein YabI"	"Chromosome Region 2, 49379->98757" // "yabIp" // "yabI"	"response to ionizing radiation" // "FtsZ-dependent cytokinesis"	"plasma membrane" // "integral component of membrane" // "membrane"	""
"ptsP"	"b2829"	2966188	2968434	"PtsP-phosphorylated" // "phosphoenolpyruvate-protein phosphotransferase PtsP"	"Chromosome Region 61, 2962740->3012118" // "rppHp" // "rppH" // "ptsP"	"phosphoenolpyruvate-dependent sugar phosphotransferase system" // "carbohydrate transport" // "response to organonitrogen compound" // "protein phosphorylation" // "phosphorylation"	"cytosol" // "cytoplasm"	"transferase activity, transferring phosphorus-containing groups" // "catalytic activity" // "metal ion binding" // "transferase activity" // "kinase activity" // "phosphoenolpyruvate-protein phosphotransferase activity"
"yhiD"	"b3508"	3655255	3655902	"inner membrane protein YhiD"	"Chromosome Region 75, 3654046->3703424" // "hdeAB-yhiD" // "yhiD"	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
"ygaQ"	"b4462"	2786397	2788649	"putative uncharacterized protein YgaQ"	"Chromosome Region 57, 2765224->2814602" // "ygaQ"	""	""	""
"yjfM"	"b4185"	4412387	4413025	"DUF1190 domain-containing protein YjfM"	"Chromosome Region 90, 4394731->4444109" // "yjfKLMC"	""	""	""
"crl"	"b0240"			"RNA polymerase holoenzyme assembly factor Crl"	"Chromosome Region 6, 246895->296273"	"positive regulation of DNA-templated transcription, initiation" // "cellular protein-containing complex assembly" // "positive regulation of transcription, DNA-templated"	"cytosol"	"protein binding"
"yibA"	"b3594"	3766337	3767179	"putative lyase containing HEAT-repeat"	"Chromosome Region 77, 3752804->3802182" // "yibA" // "yibA" // "rhsA"	"response to radiation" // "cellular response to DNA damage stimulus" // "response to antibiotic"	"cytosol"	""
"yehH"	"b4499"	2197410	2200269		"yehH" // "yehI" // "Chromosome Region 45, 2172676->2222054"	""	""	""
"yhfS"	"b3376"	3504935	3506020	"putative aminotransferase YhfS"	"Chromosome Region 72, 3505909->3555287" // "Chromosome Region 71, 3456530->3505908" // "yhfX" // "yhfW" // "php" // "yhfU" // "yhfT" // "yhfS"	"biosynthetic process"	"cytosol"	"pyridoxal phosphate binding" // "catalytic activity"
"yncK"	"b4578"	1503218	1503649		"Chromosome Region 31, 1481370->1530748" // "yncK"	""	""	""
"yciB"	"b1254"	1312351	1312890	"inner membrane protein"	"Chromosome Region 27, 1283854->1333232" //  // "yciCp" // "yciC" // "yciB"	"cell septum assembly" // "division septum assembly" // "cell division" // "cell cycle"	"integral component of plasma membrane" // "plasma membrane" // "integral component of membrane" // "membrane"	""
"cybC"	"b4236"	4459488	4459855		"Chromosome Region 91, 4444110->4493488" // "cybC"	""	""	""
"yqjF"	"b3101"	3250562	3250954	"DoxX family protein"	"Chromosome Region 66, 3209635->3259013" // "yqjF"	""	"plasma membrane" // "integral component of membrane" // "membrane"	""
"yhcE"	"b4569"			"putative uncharacterized protein YhcE"	"Chromosome Region 69, 3357772->3407150" // "yhcE" // "yhcD" // "yhcA"	""	""	""
"glpE"	"b3425"	3561497	3561823	"thiosulfate sulfurtransferase GlpE"	"Chromosome Region 73, 3555288->3604666" // "glpEGR"	"glycerol metabolic process"	"cytosol" // "cytoplasm"	"transferase activity" // "thiosulfate sulfurtransferase activity"
"yhiS"	"b3504"			"putative uncharacterized protein YhiS"	"Chromosome Region 74, 3604667->3654045" // "yhiS"	""	""	""
"ygfM"	"b2880"	3020540	3021319	"putative oxidoreductase"	"Chromosome Region 62, 3012119->3061497" // "xdhD" // "ygfM"	"oxidation-reduction process"	""	"FAD binding" // "flavin adenine dinucleotide binding" // "oxidoreductase activity"
"ybcY"	"b0562"	582152	582806	"DLP12 prophage; putative SAM-dependent methyltransferase YbcY"	"Chromosome Region 12, 543169->592547" // "ybcY"	""	"cytosol"	""
"ygbJ"	"b2736"	2861430	2862338	"putative L-threonate dehydrogenase"	"Chromosome Region 58, 2814603->2863981" // "ygbK" // "ygbJ"	"carbohydrate metabolic process" // "oxidation-reduction process"	"cytosol"	"NADP binding" // "NAD binding" // "oxidoreductase activity"
"yejO"	"b2190"			"adhesin-like autotransporter YejO"	"Chromosome Region 47, 2271434->2320812" // "yejO"	""	"extracellular region"	""
"oxc"	"b2373"	2490256	2491950	"oxalyl-CoA decarboxylase"	"Chromosome Region 51, 2468950->2518328" // "yfdX" // "oxc"	"fatty acid alpha-oxidation" // "cellular response to acidic pH" // "oxalate catabolic process"	""	"carbon-carbon lyase activity" // "nucleotide binding" // "identical protein binding" // "carboxy-lyase activity" // "lyase activity" // "catalytic activity" // "metal ion binding" // "magnesium ion binding" // "ADP binding" // "thiamine pyrophosphate binding" // "oxalyl-CoA decarboxylase activity"
"ygaY"	"b2681"	2808316	2809493	"putative transporter YgaY, N-terminal fragment"	"Chromosome Region 57, 2765224->2814602" // "ygaY"	""	"plasma membrane"	""
"hiuH"	"b1970"	2038956	2039369	"hydroxyisourate hydrolase / transthyretin-related protein"	"Chromosome Region 42, 2024539->2073917" // "yedXp" // "hiuH"	"protein homotetramerization" // "purine nucleobase metabolic process"	"outer membrane-bounded periplasmic space" // "periplasmic space"	"identical protein binding" // "hydroxyisourate hydrolase activity" // "hydrolase activity"
